product_family,articulation,pose,product_weight_g,height_cm,complexity_score,stability_index,center_of_gravity,hair_length,dress_length,accessory_count,accessory_weight_g,fragility_score,attachment_needed,fragile_parts_count,movement_score,protection_score,packaging_complexity,overall_risk,recommended_head_strap,recommended_waist_strap,recommended_hand_strap,recommended_leg_strap,recommended_back_support,recommended_base_support,recommended_material,eco_score,relative_cost,recyclable
Dreamtopia,Standard,Arms Open,123,30.0,7,5,Back,Long,Long,3,31.0,5,2,2,7,6,8,6.8,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Dreamtopia,Standard,Walking,121,30.0,7,5,Back,Long,Short,3,38.0,7,3,1,8,5,8,7.0,1,4,1,2,1,1,Virgin PET,43.0,1.0,Yes
Fashionistas,Standard,One Hand Up,117,29.0,3,8,Center,Short,Short,4,15.0,8,0,0,1,2,4,2.0,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Careers,Standard,Walking,120,29.0,5,7,Center,Long,Knee,0,0.0,0,0,1,5,1,5,3.6,0,1,0,1,0,0,rPET,86.0,1.1,Yes
Dreamtopia,Standard,Walking,127,30.2,7,5,Back,Medium,Knee,3,34.0,9,2,0,8,4,8,6.6,1,4,1,2,1,1,Virgin PET,43.0,1.0,Yes
Signature,Made to Move,Sitting,140,29.0,8,6,Center,Long,Short,0,0.0,0,0,1,5,1,9,4.4,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,One Hand Up,138,30.0,6,6,Center,Medium,Short,3,35.0,8,2,0,5,4,7,5.0,2,3,1,0,0,0,rPET,78.0,1.1,Yes
Dreamtopia,Standard,Two Hands Up,133,30.0,7,5,Back,Medium,Knee,1,25.0,1,1,0,7,1,7,4.9,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,Arms Open,124,30.0,7,5,Back,Long,Knee,2,20.0,4,1,1,7,3,7,5.6,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,One Hand on Hip,119,29.0,5,7,Center,Long,Short,1,12.0,2,1,1,2,2,5,2.6,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Fashionistas,Standard,Arms Open,117,29.0,3,8,Center,Medium,Knee,1,6.0,1,0,0,2,0,3,1.5,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Extra,Curvy,One Leg Bent,134,30.2,6,6,Center,Short,Knee,4,46.0,6,2,0,6,5,7,5.8,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Fashionistas,Standard,Two Hands Up,118,29.0,3,8,Center,Short,Long,3,33.0,5,1,1,2,4,4,3.1,1,2,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,One Leg Bent,130,29.0,5,7,Center,Medium,Knee,5,30.0,9,1,0,4,3,7,4.2,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Careers,Standard,One Hand on Hip,122,29.0,5,7,Center,Medium,Short,4,38.0,6,2,0,3,4,6,4.0,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,Sitting,125,30.0,6,6,Center,Very Long,Short,3,9.0,3,0,2,4,3,7,4.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,One Hand Up,126,30.0,6,6,Center,Long,Knee,5,67.0,6,4,1,5,7,8,6.3,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Made to Move,Made to Move,Two Hands Up,129,29.0,7,5,Left,Medium,Knee,0,0.0,0,0,0,6,0,8,4.3,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,One Hand Up,138,30.0,6,6,Center,Short,Short,5,29.0,6,1,0,5,3,8,4.9,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,One Hand on Hip,115,29.0,5,7,Center,Long,Short,3,38.0,7,2,1,2,5,6,3.8,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,Sitting,120,30.0,7,5,Back,Medium,Short,5,32.0,8,2,0,5,4,9,5.4,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,One Hand on Hip,115,29.2,3,8,Center,Medium,Knee,5,52.0,7,4,0,1,6,5,3.6,1,1,2,0,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,Sitting,130,30.2,7,5,Back,Short,Knee,2,28.0,2,1,0,5,2,7,4.4,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,One Hand on Hip,126,30.2,7,5,Back,Short,Long,5,51.0,7,2,1,6,6,9,6.6,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Fashionistas,Standard,Sitting,120,29.0,3,8,Center,Long,Short,2,27.0,4,1,1,1,3,3,2.1,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
